Principal;UsedTerm;Valid;Url;Title;Abstract;DataPublicacao;;;;
10723998000106;10723998000106+tcu+licitação;1;https://www.jusbrasil.com.br/diarios/153411912/dou-secao-3-14-07-2017-pg-70?ref=serp;DOU 14/07/2017 - Pág. 70 - Seção 3 - Diário Oficial da União;101.889,98   R$ 84.415,13   R$ 118.098,19   * A atualização foi realizada com base no Acórdão nº 1.603 - TCU...-Plenário, de 15/06/2011, com nova redação dada pelo Acórdão nº 1.247/2012 - TCU - Plenário, de 23/05...GEANY CLEIDE CARVALHO MARTINS Pró-Reitora AVISOS DE LICITAÇÃO PREGÃO N 43/2017 - UASG 158515 Nº Processo...;;;;;
10723998000106;10723998000106+tcu+licitação;1;https://www.jusbrasil.com.br/diarios/147297966/dou-secao-3-22-05-2017-pg-66?ref=serp;DOU 22/05/2017 - Pág. 66 - Seção 3 - Diário Oficial da União;13.857.945/0001-76 Valor R$ 136.254,45 AVISO DE ALTERAÇÃO PREGÃO N 17/2016 Comunicamos que o edital da licitação...$974.197,99   R$328.215,55   R$ 527.922,59   * A atualização foi realizada com base no Acórdão nº 1.603 - TCU...-Plenário, de 15/06/2011, com nova redação dada pelo Acórdão nº 1.247/2012 - TCU - Plenário, de 23/05...;;;;;
10723998000106;10723998000106+tcu+licitação;1;https://www.jusbrasil.com.br/diarios/160421954/dou-secao-1-13-09-2017-pg-19?ref=serp;DOU 13/09/2017 - Pág. 19 - Seção 1 - Diário Oficial da União;Portaria nº 1.930, de 19 de agosto de 2014, resolve: Art. 1º Aplicar a Helder Silva Santos - ME, CNPJ: 10.723.998/0001-06...atribuições legais e estatutárias e, considerando o princípio de segregação de função, bem como o Acórdão TCU...Administrativos e Acadêmicos dos campi a competência de autorização do prosseguimento dos editais de licitação...;;;;;
10723998000106;10723998000106+tcu+conluio;1;https://www.jusbrasil.com.br/diarios/147297966/dou-secao-3-22-05-2017-pg-66?ref=serp;DOU 22/05/2017 - Pág. 66 - Seção 3 - Diário Oficial da União;"tais empresas reduziam seus lances drasticamente "", ou seja, situação que caracteriza o conhecido"" conluio...$974.197,99   R$328.215,55   R$ 527.922,59   * A atualização foi realizada com base no Acórdão nº 1.603 - TCU...-Plenário, de 15/06/2011, com nova redação dada pelo Acórdão nº 1.247/2012 - TCU - Plenário, de 23/05...";;;;;
10723998000106;10723998000106+tcu+conluio;1;https://www.jusbrasil.com.br/diarios/153411912/dou-secao-3-14-07-2017-pg-70?ref=serp;DOU 14/07/2017 - Pág. 70 - Seção 3 - Diário Oficial da União;", tais empresas reduziam seus lances drasticamente"", ou seja, situação que caracteriza o conhecido ""conluio...101.889,98   R$ 84.415,13   R$ 118.098,19   * A atualização foi realizada com base no Acórdão nº 1.603 - TCU...-Plenário, de 15/06/2011, com nova redação dada pelo Acórdão nº 1.247/2012 - TCU - Plenário, de 23/05...";;;;;
6064175000149;06064175000149+tcu+fraude;1;https://tcu.jusbrasil.com.br/jurisprudencia/316469255/654220115/inteiro-teor-316469309?ref=serp;TCU - Inteiro Teor. : 654220115;Decisão: (CNPJ 06064175/0001-49), Casa Mundo de Viagens e Negócios em Turismo Ltda. TCU, Sala das Sessões Ministro Luciano Brandão Alves de Souza, em 17 de agosto de 2011. Código eletrônico para localização na página do TCU na Internet: AC-2141-34/11-P. 13.;17/08/2011;;;;
6064175000149;06064175000149+tcu+licitação;1;https://tcu.jusbrasil.com.br/jurisprudencia/313489804/1224320140/inteiro-teor-313489847?ref=serp;TCU - Inteiro Teor. : 1224320140;Decisão: Recorrente: Aires Turismo Ltda (06.064.175/0001-49) Advogado constituído nos autos: Jonas Sidnei Santiago...Interessado: Aires Turismo Ltda (06.064.175/0001-49) 3.2. Recorrente: Aires Turismo Ltda (06.064.175/0001-49). 4.;01/07/2015;;;;
6064175000149;06064175000149+tcu+licitação;1;https://tcu.jusbrasil.com.br/jurisprudencia/311995109/1224320140/inteiro-teor-311995183?ref=serp;TCU - Inteiro Teor. : 1224320140;Decisão: LICITAÇÃO. REQUERIMENTO DE MEDIDA CAUTELAR. Interessado: Aires Turismo Ltda (06.064.175/0001-49) 3.2. Recorrente: Aires Turismo Ltda (06.064.175/0001-49). 4.;17/02/2016;;;;
6064175000149;06064175000149+tcu+licitação;1;https://tcu.jusbrasil.com.br/jurisprudencia/316455554/3076520110/inteiro-teor-316455593?ref=serp;TCU - Inteiro Teor. : 3076520110;Decisão: pregoeiro considerou que as alegações da Eurexpress são equivocadas, “quando se percebe que para a licitação...(CNPJ 06.064.175/0001-49), conforme Extrato de Contrato 24/2011, publicado no Diário Oficial da União...(CNPJ 06.064.175/0001-49), conforme Extrato de Contrato 24/2011, publicado no Diário Oficial da União...;05/10/2011;;;;
6064175000149;06064175000149+tcu+licitação;0;https://www.jusbrasil.com.br/diarios/217141172/dou-secao-3-12-11-2018-pg-194?ref=serp;DOU 12/11/2018 - Pág. 194 - Seção 3 - Diário Oficial da União;- Plenário e Acórdão nº 1603/2011 - TCU - Plenário, com alterações do Acórdão nº 1247/2012 - TCU - Plenário.../2018) 113214-20214-2018NE800001 AGÊNCIA NACIONAL DE TRANSPORTES AQUAVIÁRIOS EXTRATO DE DISPENSA DE LICITAÇÃO...CNPJ CONTRATADA : 06.064.175/0001-49 AIRES TURISMO LTDA.;;;;;
6064175000149;06064175000149+tcu+licitação;0;https://www.jusbrasil.com.br/diarios/50911715/dou-secao-3-18-02-2013-pg-87?ref=serp;DOU 18/02/2013 - Pág. 87 - Seção 3 - Diário Oficial da União;MODALIDADE DE LICITAÇÃO: Contratação direta, com inexigibilidade de licitação conforme art. 25 da Lei...competente para análise, certificação das contas e posterior envio ao Tribunal de Contas da União - TCU...PREGÃO SISPP Nº 11/2011 Contratante: MINISTÉRIO DA FA ZENDA -CNPJ Contratado: 06064175000149....;;;;;
6064175000149;06064175000149+tcu+licitação;0;https://www.jusbrasil.com.br/diarios/143031391/dou-secao-3-11-04-2017-pg-113?ref=serp;DOU 11/04/2017 - Pág. 113 - Seção 3 - Diário Oficial da União;2017 Contratante: Procuradoria Regional do Trabalho 16ª Região Contratada: Aires Turismo LTDA CNPJ n. 06.064.175/0001-49...Público Militar/MPM torna público o resultado de julgamento da licitação supracitada, referente ao processo...PREGÃO ELETRÔNICO N 2/2017 Tornamos público o resultado do julgamento das propostas apresentadas na licitação...;;;;;
6064175000149;06064175000149+tcu+licitação;1;https://tcu.jusbrasil.com.br/jurisprudencia/315626015/1098320147/inteiro-teor-315626045?ref=serp;TCU - Inteiro Teor. : 1098320147;Decisão: (CNPJ 06.064.175/0001-49), para, no prazo de 15 (quinze) dias, se assim desejar, manifestar-se sobre...O pregoeiro faz menção aos Acórdãos 1215/2014 – TCU – Primeira Câmara, 2214/2014 - TCU – Segunda Câmara...Enfim, traduziria a negação do tipo de licitação instaurada, qual seja, a de menor preço.;30/07/2014;;;;
6064175000149;06064175000149+tcu+licitação;0;https://www.jusbrasil.com.br/diarios/77903220/dou-secao-3-08-10-2014-pg-10?ref=serp;DOU 08/10/2014 - Pág. 10 - Seção 3 - Diário Oficial da União;Fundamento Legal: Lei 8666 /93, Art. 57 ; II e Decisão 90/2001-TCU-1ª Câmara. Fundamento Legal: Lei 8666 /93, Art. 57 , II e Decisão 90/2001-TCU-1ª Câmara. CNPJ Contratado: 06064175000149.;;;;
6064175000149;06064175000149+tcu+licitação;1;https://tcu.jusbrasil.com.br/jurisprudencia/319637003/1549320075/inteiro-teor-319637055?ref=serp;TCU - Inteiro Teor. : 1549320075;Decisão: Licitação revogada perda de objeto. Determinações. melhores propostas apresentavam os seguintes dados: CNPJ Empresa Desconto (%) Valor com desconto (R$) 06.064.175/0001-49...Augusto Sherman Cavalcanti Relator ACÓRDÃO Nº 808/2008 - TCU - PLENÁRIO 1.;30/04/2008;;;;
6064175000149;06064175000149+tcu+licitação;0;https://www.jusbrasil.com.br/diarios/164689638/dou-secao-3-18-10-2017-pg-36?ref=serp;DOU 18/10/2017 - Pág. 36 - Seção 3 - Diário Oficial da União;Objeto: Como Responder Diligências e Notificações dos Órgãos de Controle (TCU e CGU) Total de Itens Licitados...Justificativa: Notória especialização (Decisão TCU 439/1998 Plenário). hospedagens em hotéis nacionais, sendo o grupo adjudicado para a empresa: AIRES TURISMO LTDA, CNPJ 06.064.175/0001-49...;;;;;
6064175000149;06064175000149+tcu+ilicito;1;https://tcu.jusbrasil.com.br/jurisprudencia/316469255/654220115/inteiro-teor-316469309?ref=serp;TCU - Inteiro Teor. : 654220115;Decisão: (CNPJ 06064175/0001-49), Casa Mundo de Viagens e Negócios em Turismo Ltda. diversos veículos de comunicação, com base em apurações conduzidas por outros órgãos de controle, os ilícitos...Código eletrônico para localização na página do TCU na Internet: AC-2141-34/11-P. 13.;17/08/2011;;;;
